5,0.5952,0.5961
10,0.6361,0.6337
15,0.6506,0.6490
20,0.6455,0.6445
25,0.6579,0.6577
30,0.6602,0.6542
35,0.6604,0.6599
40,0.6596,0.6606
45,0.6638,0.6600
50,0.6663,0.6671
55,0.6684,0.6583
60,0.6695,0.6635
65,0.6688,0.6606
70,0.6696,0.6606
75,0.6710,0.6635
80,0.6703,0.6607
85,0.6708,0.6639
90,0.6733,0.6647
95,0.6717,0.6595
100,0.6763,0.6627
105,0.6720,0.6658
110,0.6739,0.6635
115,0.6761,0.6613
120,0.6781,0.6653
125,0.6761,0.6628
130,0.6767,0.6634
135,0.6785,0.6647
140,0.6765,0.6612
145,0.6771,0.6633
150,0.6789,0.6606
