# Mass Point, Crab Directory, 	Dataset Name, 	 File With Most Events
#HH
800,GravitonHH_800GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-800_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-800_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/712AD72E-4BCF-9E44-B3CA-EAF765650E73.root
8000,GravitonHH_8000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-8000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-8000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/260000/53BD7641-0BEC-FE4F-9961-85BF441D6D86.root
7500,GravitonHH_7500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-7500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-7500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/140000/4CB99CBC-06CB-3B45-B240-3C900750999C.root
7000,GravitonHH_7000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-7000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-7000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/110000/987B5E8A-2615-CD4F-8270-0A117BFE902F.root
6500,GravitonHH_6500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-6500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-6500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/6110B42D-2A54-7247-9E4F-36794A5C3D19.root
600,GravitonHH_600GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-600_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-600_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/140000/B61349C6-F9F5-4443-B8C9-72C50192B516.root
6000,GravitonHH_6000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-60000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-60000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/343891FF-C2CD-ED45-AE13-1F832E67DCE2.root
5500,GravitonHH_5500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-5500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-5500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/F211D341-2FDB-7F48-9207-BE461C1A6D34.root
500,GravitonHH_500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/637F52A0-315C-0849-BE57-4CEA36F07955.root
5000,GravitonHH_5000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-5000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-5000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/110000/6CE7E337-C661-D04D-8CC3-C1D5E8730CD5.root
4500,GravitonHH_4500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-4500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-4500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/260000/7C6E144E-17A7-224B-BF93-8152E288D57E.root
4000,GravitonHH_4000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-4000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-4000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/6E5A66F1-7B06-0245-8006-E3F52BA91DD1.root
3500,GravitonHH_3500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-3500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-3500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/140000/6ECDEF76-C70B-DB4F-8016-390724D96DA8.root
3000,GravitonHH_3000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-3000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-3000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/260000/CD7268AF-9A01-3947-AA8D-AB5CC826486A.root
2500,GravitonHH_2500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-2500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-2500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/140000/FF2D2933-8783-8C4A-936A-D5BAE0965486.root
2000,GravitonHH_2000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-2000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAOD/GluGluToBulkGravitonToHHTo4B_M-2000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v13-v2/130000/95710684-B72B-0D47-B39E-9C270B0880DA.root
