HT bin	QCD	TT	WJets	ST
1700	54416	317717	1139	2107
1900	93942	340640	1015	1636
2100	184081	322001	703	1163
2300	286351	285718	598	775
2500	332040	242687	371	524
2700	341326	204786	333	281
2900	349858	170989	210	203
3100	350804	144465	148	112
3300	330347	120876	71	86
3500	289149	102087	61	43
3700	235558	87693	41	26
3900	183366	74591	20	18
4100	137921	62724	18	21
4300	104674	54128	6	6
4500	83644	46072	10	8
4700	73838	39083	0	0
4900	75071	33569	6	0
5100	82882	28669	0	4
5300	86367	25011	1	2
5500	85692	22689	2	0
5700	77415	20289	0	0
5900	67503	18042	0	0
6100	59026	15764	0	0
6300	51128	14275	0	0
6500	47554	13284	0	0
6700	45760	11985	0	0
6900	43205	10375	0	0
7100	39695	9166	0	0
7300	35870	8200	0	0
7500	30708	6922	0	0
7700	26506	5874	0	0
7900	23402	4831	0	0
8100	20653	3929	0	0
8300	19162	2982	0	0
8500	17541	2461	0	0
8700	16819	1757	0	0
8900	16014	1107	0	0
9100	15712	686	0	0
9300	14890	358	0	0
9500	14691	142	0	0
9700	14055	51	0	0
