year     NP_name     nom_yield     up_yield     down_yield     up_var     down_var    max_var
2015     CMS_bTagSF_bc_M_year     933.772787721     912.598293531     954.947281912     -0.0226762810704     0.0226762810704    0.0226762810704
2015     CMS_bTagSF_bc_M_year     920.036245212     939.625898794     900.44659163     0.0212922628694     -0.0212922628694    0.0212922628694
2015     CMS_bTagSF_bc_M_year     1010.59988784     988.609652069     1032.59012361     -0.021759586595     0.021759586595    0.021759586595
2015     CMS_bTagSF_light_M_year     1089.99203822     1111.16213501     1068.82194144     0.019422249012     -0.019422249012    0.019422249012
2015     CMS_bTagSF_light_M_year     933.772787721     914.488050048     953.057525395     -0.020652494833     0.020652494833    0.020652494833
2015     CMS_bTagSF_light_M_year     920.036245212     939.423147946     900.649342478     0.0210718901941     -0.0210718901941    0.0210718901941
2015     CMS_bTagSF_light_M_year     1010.59988784     990.932737974     1030.26703771     -0.0194608668614     0.0194608668614    0.0194608668614
2015     CMS_jer_eta193     1089.99203822     1099.53872022     1080.44535623     0.00875848782734     -0.00875848782734    0.00875848782734
2015     CMS_jer_eta193     933.772787721     937.542156989     930.003418454     0.00403670926936     -0.00403670926936    0.00403670926936
2015     CMS_jer_eta193     920.036245212     915.36800497     924.704485454     -0.0050739742765     0.0050739742765    0.0050739742765
2015     CMS_jer_eta193     1010.59988784     1015.43407669     1005.765699     0.00478348444572     -0.00478348444571    0.00478348444572
2015     CMS_jer_193eta25     1089.99203822     1087.67982401     1092.30425243     -0.00212131293571     0.00212131293571    0.00212131293571
2015     CMS_jer_193eta25     933.772787721     932.407962639     935.137612804     -0.00146162439171     0.00146162439171    0.00146162439171
2015     CMS_jer_193eta25     920.036245212     918.796659181     921.275831243     -0.00134732304067     0.00134732304067    0.00134732304067
2015     CMS_jer_193eta25     1010.59988784     1008.82472771     1012.37504797     -0.00175654099533     0.00175654099533    0.00175654099533
2015     CMS_jec_FlavorQCD     1089.99203822     1121.42187166     1058.56220478     0.0288349201994     -0.0288349201994    0.0288349201994
2015     CMS_jec_FlavorQCD     933.772787721     956.400433544     911.145141899     0.024232496513     -0.024232496513    0.024232496513
2015     CMS_jec_FlavorQCD     920.036245212     936.119056715     903.953433709     0.0174806281673     -0.0174806281673    0.0174806281673
2015     CMS_jec_FlavorQCD     1010.59988784     1026.17088679     995.028888892     0.015407679277     -0.015407679277    0.015407679277
2015     CMS_jec_RelativeBal     1089.99203822     1114.29882947     1065.68524698     0.022299971371     -0.022299971371    0.022299971371
2015     CMS_jec_RelativeBal     933.772787721     956.521621179     911.023954264     0.0243622792998     -0.0243622792998    0.0243622792998
2015     CMS_jec_RelativeBal     920.036245212     935.49568991     904.576800514     0.0168030822465     -0.0168030822465    0.0168030822465
2015     CMS_jec_RelativeBal     1010.59988784     1034.26648173     986.933293952     0.0234183618797     -0.0234183618797    0.0234183618797
2015     CMS_jec_Absolute     1089.99203822     1132.46943769     1047.51463876     0.0389703759044     -0.0389703759044    0.0389703759044
2015     CMS_jec_Absolute     933.772787721     977.071440756     890.474134687     0.0463695811267     -0.0463695811267    0.0463695811267
2015     CMS_jec_Absolute     920.036245212     947.578036943     892.494453482     0.0299355507719     -0.0299355507719    0.0299355507719
2015     CMS_jec_Absolute     1010.59988784     1052.37915348     968.820622199     0.0413410550954     -0.0413410550954    0.0413410550954
2015     CMS_jec_BBEC1_year     1089.99203822     1095.60050423     1084.38357222     0.0051454192374     -0.0051454192374    0.0051454192374
2015     CMS_jec_BBEC1_year     933.772787721     940.060349031     927.485226412     0.00673350240245     -0.00673350240245    0.00673350240245
2015     CMS_jec_BBEC1_year     920.036245212     923.688823203     916.383667221     0.0039700370609     -0.0039700370609    0.0039700370609
2015     CMS_jec_BBEC1_year     1010.59988784     1020.39226244     1000.80751324     0.00968966523322     -0.00968966523322    0.00968966523322
2015     CMS_jec_Absolute_year     1089.99203822     1140.38235677     1039.60171967     0.0462299877265     -0.0462299877265    0.0462299877265
2015     CMS_jec_Absolute_year     933.772787721     985.184770723     882.36080472     0.0550583436112     -0.0550583436112    0.0550583436112
2015     CMS_jec_Absolute_year     920.036245212     965.662198911     874.410291513     0.0495914741799     -0.0495914741799    0.0495914741799
2015     CMS_jec_Absolute_year     1010.59988784     1055.39566028     965.804115398     0.0443259226346     -0.0443259226346    0.0443259226346
2015     CMS_jec_RelativeSample_year     1089.99203822     1124.20470599     1055.77937046     0.03138799786     -0.03138799786    0.03138799786
2015     CMS_jec_RelativeSample_year     933.772787721     971.46407754     896.081497903     0.0403645194145     -0.0403645194145    0.0403645194145
2015     CMS_jec_RelativeSample_year     920.036245212     942.928132708     897.144357716     0.024881506153     -0.024881506153    0.024881506153
2015     CMS_jec_RelativeSample_year     1010.59988784     1049.14999387     972.049781816     0.0381457651931     -0.0381457651931    0.0381457651931
2015     CMS_pu     1089.99203822     1105.06298416     1074.92109229     0.0138266568974     -0.0138266568974    0.0138266568974
2015     CMS_pu     933.772787721     920.750659559     946.794915884     -0.0139457139185     0.0139457139185    0.0139457139185
2015     CMS_pu     920.036245212     931.549179336     908.523311088     0.012513565834     -0.012513565834    0.012513565834
2015     CMS_pu     1010.59988784     995.6744924     1025.52528328     -0.0147688473158     0.0147688473158    0.0147688473158
2015     CMS_topPt     1089.99203822     1087.29892031     1089.99203822     -0.00247076842271     0.0    0.00247076842271
2015     CMS_topPt     933.772787721     933.609688319     933.772787721     -0.000174667118562     0.0    0.000174667118562
2015     CMS_topPt     920.036245212     919.498389125     920.036245212     -0.000584603150045     0.0    0.000584603150045
2015     CMS_topPt     1010.59988784     1010.56296354     1010.59988784     -3.653701325e-05     0.0    3.653701325e-05
2015     CMS_L1Prefiring     1089.99203822     1085.13664936     1094.64230072     -0.0044545177347     0.00426632703223    0.0044545177347
2015     CMS_L1Prefiring     933.772787721     929.855190425     937.552467554     -0.0041954502722     0.00404775110409    0.0041954502722
2015     CMS_L1Prefiring     920.036245212     916.064106201     923.846224218     -0.00431737231216     0.00414111838083    0.00431737231216
2015     CMS_L1Prefiring     1010.59988784     1006.44788654     1014.62638457     -0.00410845216753     0.00398426397343    0.00410845216753
2015     CMS_pdf_allBR     1089.99203822     1115.38990502     1065.14567418     0.0233009654285     -0.0227949959049    0.0233009654285
2015     CMS_pdf_allBR     933.772787721     952.303134832     915.743227683     0.0198445996219     -0.0193082945613    0.0198445996219
2015     CMS_pdf_allBR     920.036245212     939.468907499     900.837753637     0.021121626879     -0.0208671035241    0.021121626879
2015     CMS_pdf_allBR     1010.59988784     1027.76730616     993.432541123     0.0169873542656     -0.0169872834192    0.0169873542656
2015     CMS_renorm_allBR     1089.99203822     1009.58086445     1185.49615097     -0.0737722579229     0.0876190920629    0.0876190920629
2015     CMS_renorm_allBR     933.772787721     865.256545122     1014.42336915     -0.0733757114155     0.0863706701389    0.0863706701389
2015     CMS_renorm_allBR     920.036245212     853.6109191     998.022706688     -0.0721985970196     0.0847645534419    0.0847645534419
