HT bin	QCD	TT	WJets	ST
1700	19892	194147	365	1002
1900	55155	225369	401	761
2100	148391	226271	306	522
2300	255909	211333	209	380
2500	309441	182520	162	255
2700	319131	157655	141	147
2900	321311	134364	98	85
3100	320296	114606	62	50
3300	296156	97856	41	18
3500	253653	82245	30	15
3700	201427	68548	26	8
3900	150776	56971	18	12
4100	107543	46663	8	0
4300	77150	37516	4	8
4500	58115	30402	3	2
4700	50345	24380	4	2
4900	51752	19561	0	0
5100	58616	16307	0	0
5300	64900	13226	0	0
5500	63958	11404	0	0
5700	58229	10120	0	0
5900	50966	9044	0	0
6100	42135	8037	0	0
6300	35171	7196	0	2
6500	29088	6335	0	0
6700	24419	6023	0	0
6900	20328	5355	0	0
7100	18435	4666	0	0
7300	16638	4129	0	0
7500	15596	3624	0	2
7700	15212	3045	0	0
7900	14516	2658	0	0
8100	14168	2145	0	0
8300	13901	1679	0	0
8500	13579	1269	0	0
8700	13442	1026	0	0
8900	12940	675	0	0
9100	12794	348	0	0
9300	12479	196	0	0
9500	12628	98	0	0
9700	11868	55	0	0
