bin     HT_center    QCD_frac     TTbar_frac     WJets_frac     ST_frac 
9     1700.0     0.96636569926     0.00122478734885     0.0222275203071     0.0101819399276
10     1900.0     0.959071421379     0.00477485302398     0.0240254598563     0.0121283193273
11     2100.0     0.950968111372     0.011229112849     0.0259039719413     0.0118987904498
12     2300.0     0.937443630889     0.0203736141082     0.0285072743257     0.0136755375618
13     2500.0     0.929710260207     0.0289006891897     0.0264283944737     0.0149607018791
14     2700.0     0.921930973454     0.034821839143     0.0285993750732     0.0146477634786
15     2900.0     0.917625640758     0.0386614229078     0.0304008947497     0.0133120568917
16     3100.0     0.916329456711     0.0395766943836     0.0310288663221     0.013064996629
17     3300.0     0.912677554813     0.0401485835591     0.0314304062679     0.0157434865457
18     3500.0     0.909921026453     0.0385608529743     0.03234156032     0.0191765362723
19     3700.0     0.914042067028     0.0375109007149     0.0294456756002     0.0190013374503
20     3900.0     0.933512285937     0.0321567926698     0.0235032615022     0.0108276274345
21     4100.0     0.923467775477     0.0315145178702     0.0356929417439     0.00932469683497
22     4300.0     0.917240187388     0.0316444545158     0.032192202425     0.0189231306136
23     4500.0     0.913771326984     0.0309170767084     0.0523650148745     0.00294659910229
24     4700.0     0.91566687159     0.028205448887     0.0478802432103     0.008247406083
25     4900.0     0.930716110882     0.0203986101351     0.0417973747658     0.00708794663435
26     5100.0     0.950137225017     0.0227751025402     0.0257899860938     0.00129769673419
27     5300.0     0.950925717178     0.0202203000092     0.0265017367419     0.00235225793036
28     5500.0     0.976620601273     0.0218570103336     0.00152236184146     0.0
29     5700.0     0.955593928706     0.0143773497051     0.0246007949236     0.00542787853126
30     5900.0     0.944628533492     0.0361876321849     0.00231499305946     0.0168689106253
31     6100.0     0.676010136697     0.0456295969065     0.27836028691     0.0
32     6300.0     0.964556802087     0.018271560455     0.0171716990611     0.0
33     6500.0     0.842960057751     0.152571027797     0.00446891482162     0.0
34     6700.0     0.687185760192     0.00985538679539     0.302958836257     0.0
35     6900.0     0.0     0.843956331605     0.156043686502     0.0
36     7100.0     0.0     0.848706563468     0.151293462438     0.0
37     7300.0     0.0     0.861923775443     0.138076239189     0.0
38     7500.0     0.0     0.429954653506     0.570045373822     0.0
39     7700.0     0.0     1.0     0.0     0.0
40     7900.0     0.0     1.0     0.0     0.0
41     8100.0     0.0     1.0     0.0     0.0
42     8300.0     0.0     1.0     0.0     0.0
43     8500.0     0.0     1.0     0.0     0.0
44     8700.0     0.0     1.0     0.0     0.0
45     8900.0     0.0     1.0     0.0     0.0
46     9100.0     0.0     1.0     0.0     0.0
47     9300.0     0     0     0     0
48     9500.0     0     0     0     0
49     9700.0     0     0     0     0
50     9900.0     0     0     0     0
