bin     HT_center    QCD_frac     TTbar_frac     WJets_frac     ST_frac 
9     1700.0     0.969741241505     0.00105926629339     0.0220927393608     0.00710667825556
10     1900.0     0.965991230035     0.00357570594355     0.0232518176721     0.00718119975289
11     2100.0     0.957086383645     0.00817661771706     0.0258379131389     0.00889903341517
12     2300.0     0.949054212004     0.0139042400181     0.0277553951328     0.00928614582737
13     2500.0     0.945196772315     0.019427365977     0.026361494785     0.00901428776564
14     2700.0     0.938161300683     0.0230827444372     0.0289792448882     0.00977668876189
15     2900.0     0.936098459513     0.025094319136     0.0305836035391     0.00822360789042
16     3100.0     0.937410942981     0.0257402517838     0.0274923303651     0.00935650265079
17     3300.0     0.926504796992     0.0247658265376     0.0318452028766     0.0168841446655
18     3500.0     0.933843704786     0.0244631232339     0.0364412060927     0.0052519696613
19     3700.0     0.91039737384     0.0257819645783     0.0417481572286     0.0220725562279
20     3900.0     0.918447569744     0.0249948335549     0.0391056138132     0.0174519732395
21     4100.0     0.933941249881     0.0209359433131     0.0371030159096     0.00801982623356
22     4300.0     0.916903751793     0.0234677402266     0.0385718527795     0.0210566304045
23     4500.0     0.962173026798     0.0184650988949     0.0173929472844     0.00196887215634
24     4700.0     0.94082026587     0.0180386567063     0.0198016945823     0.0213393488614
25     4900.0     0.930351363285     0.0202931589517     0.0216104686411     0.0277449726314
26     5100.0     0.955557161711     0.0154614765587     0.0289813617301     0.0
27     5300.0     0.965807433432     0.0157335779087     0.0184590180152     0.0
28     5500.0     0.984752981144     0.0146826573534     0.000564378893381     0.0
29     5700.0     0.981025806922     0.0179068233151     0.00106742235883     0.0
30     5900.0     0.978996096576     0.0198755891982     0.00112829078788     0.0
31     6100.0     0.978753723259     0.0194640273296     0.0017822901276     0.0
32     6300.0     0.991015722941     0.00808192666881     0.000902379068719     0.0
33     6500.0     0.404930332608     0.0163563137753     0.578713345197     0.0
34     6700.0     0.0     0.945752356835     0.0542476795102     0.0
35     6900.0     0.0     0.692974052238     0.307025970038     0.0
36     7100.0     0.95857484259     0.0414251377832     0.0     0.0
37     7300.0     0.0     0.849793236825     0.150206785344     0.0
38     7500.0     0.0     1.0     0.0     0.0
39     7700.0     0.0     1.0     0.0     0.0
40     7900.0     0.0     1.0     0.0     0.0
41     8100.0     0.0     1.0     0.0     0.0
42     8300.0     0.0     1.0     0.0     0.0
43     8500.0     0.0     1.0     0.0     0.0
44     8700.0     0     0     0     0
45     8900.0     0.0     1.0     0.0     0.0
46     9100.0     0     0     0     0
47     9300.0     0     0     0     0
48     9500.0     0     0     0     0
49     9700.0     0     0     0     0
50     9900.0     0     0     0     0
