HT bin	QCD	TT	WJets	ST
1700	87194	310785	1280	2473
1900	139043	335014	1210	2042
2100	238064	316104	965	1296
2300	342733	281330	699	955
2500	393476	240038	547	624
2700	397149	206353	360	401
2900	383474	176090	217	241
3100	364848	149375	122	161
3300	332619	126283	92	89
3500	292903	106823	66	52
3700	250978	90121	53	46
3900	210388	75655	24	38
4100	177030	64506	17	20
4300	153904	53713	10	8
4500	139037	45191	8	10
4700	130888	37687	2	6
4900	131032	32090	2	6
5100	135688	26612	2	0
5300	137087	23515	2	0
5500	130972	21013	2	0
5700	119198	19293	3	0
5900	108027	17394	0	0
6100	96766	15607	0	0
6300	87728	14556	0	0
6500	82393	13556	2	0
6700	80424	12081	0	0
6900	76844	10741	0	0
7100	71899	9696	0	0
7300	67317	8417	0	0
7500	60922	7402	0	0
7700	56927	6192	0	0
7900	53166	5319	0	0
8100	50009	4280	0	0
8300	48297	3456	0	0
8500	46405	2592	0	0
8700	45199	1798	0	0
8900	44036	1150	0	0
9100	43351	657	0	0
9300	41917	291	0	0
9500	41189	121	0	0
9700	39888	66	0	0
