bin     HT_center    QCD_frac     TTbar_frac     WJets_frac     ST_frac 
1     100.0     0     0     0     0
2     300.0     0     0     0     0
3     500.0     0     0     0     0
4     700.0     0     0     0     0
5     900.0     0     0     0     0
6     1100.0     0     0     0     0
7     1300.0     0     0     0     0
8     1500.0     0     0     0     0
9     1700.0     0.965682741984     0.00112031830411     0.0233217488601     0.0098752094142
10     1900.0     0.961638016865     0.00424461741543     0.0247822772409     0.00933499954575
11     2100.0     0.95541963572     0.00990143712981     0.025233623069     0.00944535563934
12     2300.0     0.942187607199     0.018027630236     0.0270349703121     0.0127498164938
13     2500.0     0.932568441924     0.0256196459415     0.0297604637326     0.0120515392862
14     2700.0     0.924628840185     0.03052028285     0.0323118869944     0.0125389406104
15     2900.0     0.91981877831     0.0326256633517     0.031325805706     0.0162297979087
16     3100.0     0.924657573255     0.0338288315478     0.030648259019     0.010865336178
17     3300.0     0.916218486786     0.0342884843762     0.0325490577393     0.0169440024148
18     3500.0     0.91392919896     0.0328957724876     0.0363494446118     0.0168255998711
19     3700.0     0.922276417252     0.0304970485641     0.0388080841193     0.00841846372235
20     3900.0     0.902021279367     0.0326185895077     0.0491785251644     0.0161816190303
21     4100.0     0.908269021497     0.031793996348     0.0314971790339     0.0284396974828
22     4300.0     0.909457981402     0.0297966191873     0.0279204581007     0.0328249057493
23     4500.0     0.941724365736     0.0333729825481     0.0151316763061     0.0097710231355
24     4700.0     0.938847014175     0.0260784580293     0.012389465161     0.022685040169
25     4900.0     0.870427249307     0.0340351245425     0.0595710010629     0.0359666126908
26     5100.0     0.845195858439     0.0264117906012     0.0240857158216     0.10430659659
27     5300.0     0.871085220054     0.0270055037758     0.101909246263     0.0
28     5500.0     0.888599818085     0.0324755974467     0.0789246066128     0.0
29     5700.0     0.813684573782     0.0412317866469     0.14508363126     0.0
30     5900.0     0.751486711114     0.0165205281277     0.0386801823387     0.193312517519
31     6100.0     0.980025694376     0.0193595921421     0.000614718216276     0.0
32     6300.0     0.562870993579     0.0086134082138     0.109591479759     0.318924102026
33     6500.0     0.960426371899     0.0350964024807     0.0044771647769     0.0
34     6700.0     0.977761933628     0.0169493093483     0.00528882964742     0.0
35     6900.0     0.0     1.0     0.0     0.0
36     7100.0     0.955777894643     0.0363763302819     0.00784580204409     0.0
37     7300.0     0.0     1.0     0.0     0.0
38     7500.0     0.0     0.332188086654     0.667811913346     0.0
39     7700.0     0.0     1.0     0.0     0.0
40     7900.0     0.994869646844     0.00513036333887     0.0     0.0
41     8100.0     0.0     0.445524428493     0.554475571507     0.0
42     8300.0     0.0     0.444359403358     0.555640551306     0.0
43     8500.0     0     0     0     0
44     8700.0     0.0     1.0     0.0     0.0
45     8900.0     0     0     0     0
46     9100.0     0.0     1.0     0.0     0.0
47     9300.0     0.0     1.0     0.0     0.0
48     9500.0     0     0     0     0
49     9700.0     0     0     0     0
50     9900.0     0     0     0     0
