1700,1,5.25566166152e-05,0.0818181818182,0.412087912088
1900,1,0.000711428923234,0.443342776204,1
2100,1,0.00501066243504,1,1
2300,1,0.0162083710782,1,1
2500,1,0.0311923342004,1,1
2700,1,0.0448856307233,1,1
2900,1,0.0575564554268,1,1
3100,1,0.0690403485899,1,1
3300,1,0.0730188432479,1,1
3500,1,0.0726156628083,1,1
3700,1,0.0733185935383,1,1
3900,1,0.0607770709351,1,1
4100,1,0.041771991911,1,1
4300,1,0.0389238259458,1,1
4500,1,0.0246115599751,1,1
4700,1,0.0254597963216,1,0
4900,1,0.0400552486188,1,0
5100,1,0.0285646975676,0,0
5300,1,0.063760756101,0,1
5500,1,0.0466333960566,0,0
5700,1,0.0492118415994,0,0
5900,1,0.0464034613304,0,0
6100,1,0.0434358223524,0,0
6300,1,0.041991519628,0,0
6500,1,0.0454757825884,0,0
6700,1,0.0494928296607,0,0
6900,1,0.0607332155477,0,0
7100,1,0.0583173996176,0,0
7300,1,0.0574217628481,0,0
7500,1,0.0533333333333,0,0
7700,1,0.0488965815664,0,0
7900,1,0.0420253164557,0,0
8100,1,0.0408450704225,0,0
8300,1,0.0366541353383,0,0
8500,1,0.034793814433,0,0
8700,1,0.037037037037,0,0
8900,1,0.045197740113,0,0
9100,1,0.0578947368421,0,0
9300,1,0.0803571428571,0,0
9500,1,0.0759493670886,0,0
9700,1,0.133333333333,0,0
