# Mass Point, Crab Directory, 	Dataset Name, 	 File With Most Events
#HH
500,GravitonHH_M_500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/110000/231444C5-F504-7948-A6A9-D82D3C83233F.root
600,GravitonHH_M_600GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-600_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-600_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/250000/44AAB7D0-A235-C941-8C4B-85E1088541F6.root
800,GravitonHH_M_800GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-800_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-800_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/270000/C4CEF15E-920F-3243-96A8-8C7F2EE3C69C.root
1000,GravitonHH_M_1000GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1000_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1000_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/270000/B62DDF3A-CBAD-A143-B242-9AD00DAF1541.root
1200,GravitonHH_M_1200GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1200_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1200_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/130000/4FA5E96C-A91A-0340-8822-8131A7C772DD.root
1250,GravitonHH_M_1250GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1250_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1250_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/80000/1563E94A-1BD3-0041-938C-68CAF54DEA16.root
1400,GravitonHH_M_1400GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1400_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1400_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/130000/44B46537-94FF-7E48-8994-D04748876BBB.root
1500,GravitonHH_M_1500GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1500_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1500_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/80000/978CE291-BC91-EA46-B34C-2E4032213A3E.root
1600,GravitonHH_M_1600GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1600_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1600_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/260000/E55CA1D6-1F6E-A84C-AACE-E970BDD8A554.root
1750,GravitonHH_M_1750GeV_trees,/GluGluToBulkGravitonToHHTo4B_M-1750_narrow_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,/store/mc/RunIISummer20UL17MiniAODv2/GluGluToBulkGravitonToHHTo4B_M-1750_narrow_TuneCP5_13TeV-madgraph-pythia8/MINIAODSIM/106X_mc2017_realistic_v9-v2/80000/76298C51-010F-B543-AF1C-567CF2B7810F.root
