#######

# ROC AUC for some all stats:

AUCs for newBEST_qpxy_qms9:   Avg: 0.927110, W: 0.930616, Z: 0.904328, Higgs: 0.940102, Top: 0.942411, Bottom: 0.919385, QCD: 0.925815

AUCs for newBEST_qpxy_10k_ns: Avg: 0.926189, W: 0.929708, Z: 0.902656, Higgs: 0.939325, Top: 0.941602, Bottom: 0.918684, QCD: 0.925157
AUCs  newBEST_qpxy_10k_qms9:  Avg: 0.927159, W: 0.930647, Z: 0.903819, Higgs: 0.939817, Top: 0.942539, Bottom: 0.920022, QCD: 0.926107

AUCs   newBEST_qpxy_100k_ns:  Avg: 0.926676, W: 0.929473, Z: 0.902278, Higgs: 0.939440, Top: 0.942747, Bottom: 0.920344, QCD: 0.925773
AUCs  newBEST_qpxy_100k_qms9: Avg: 0.927144, W: 0.930588, Z: 0.904252, Higgs: 0.940092, Top: 0.942380, Bottom: 0.919976, QCD: 0.925572

AUCs  newBEST_qpxy_350k_ns:   Avg: 0.926379, W: 0.929398, Z: 0.902712, Higgs: 0.939591, Top: 0.942419, Bottom: 0.919417, QCD: 0.924736
AUCs  newBEST_qpxy_350k_qms9: Avg: 0.927516, W: 0.930978, Z: 0.904595, Higgs: 0.940110, Top: 0.942749, Bottom: 0.920529, QCD: 0.926136


AUCs for newBEST_qe:          Avg: 0.926735, W: 0.930123, Z: 0.903400, Higgs: 0.939478, Top: 0.942270, Bottom: 0.919748, QCD: 0.925388
AUCs for newBEST_qe_qms9:     Avg: 0.927660, W: 0.931081, Z: 0.905043, Higgs: 0.941011, Top: 0.943347, Bottom: 0.919389, QCD: 0.926088

AUCs for newBEST_qe_10k_ns:   Avg: 0.926508, W: 0.929992, Z: 0.902223, Higgs: 0.939378, Top: 0.942067, Bottom: 0.919942, QCD: 0.925447
AUCs for newBEST_qe_10k_qms9: Avg: 0.926693, W: 0.930647, Z: 0.904512, Higgs: 0.939847, Top: 0.942245, Bottom: 0.918745, QCD: 0.924161

AUCs for newBEST_qe_100k_ns:  Avg: 0.926723, W: 0.929924, Z: 0.903179, Higgs: 0.939675, Top: 0.941935, Bottom: 0.920431, QCD: 0.925190
AUCs    newBEST_qe_100k_qms9: Avg: 0.927195, W: 0.930904, Z: 0.904627, Higgs: 0.940134, Top: 0.942410, Bottom: 0.919597, QCD: 0.925500

AUCs for newBEST_qe_350k_ns:  Avg: 0.926557, W: 0.929855, Z: 0.902472, Higgs: 0.939309, Top: 0.941782, Bottom: 0.920043, QCD: 0.925880
AUCs    newBEST_qe_350k_qms9: Avg: 0.927335, W: 0.930895, Z: 0.904652, Higgs: 0.940130, Top: 0.942442, Bottom: 0.920067, QCD: 0.925824

#######

# Scales sorted by s9 (9M events to act as subsample for estimating quantiles):
# think q0_ns, q3_ns batch are s9

# thoughts: q0 here is way too high. rerun? need to choose best combo....q3? def qm at least. maybe add qm to qe and qpxy and q0 and rerun!
AUCs for newBEST_q0_ns:      Avg: 0.926687, W: 0.929860, Z: 0.902684, Higgs: 0.939283, Top: 0.942609, Bottom: 0.920106, QCD: 0.925580

AUCs for newBEST_qpxy:       Avg: 0.926565, W: 0.930041, Z: 0.902906, Higgs: 0.939383, Top: 0.941918, Bottom: 0.919506, QCD: 0.925633
AUCs for newBEST_qpxy_s9:    Avg: 0.925682, W: 0.929284, Z: 0.901899, Higgs: 0.938401, Top: 0.941530, Bottom: 0.918811, QCD: 0.924168

AUCs for newBEST_qm:         Avg: 0.926812, W: 0.930322, Z: 0.904330, Higgs: 0.939777, Top: 0.941879, Bottom: 0.919317, QCD: 0.925245
AUCs for newBEST_qm_s9:      Avg: 0.927252, W: 0.930567, Z: 0.903717, Higgs: 0.940111, Top: 0.942583, Bottom: 0.920537, QCD: 0.925993

AUCs for newBEST_qe:         Avg: 0.926735, W: 0.930123, Z: 0.903400, Higgs: 0.939478, Top: 0.942270, Bottom: 0.919748, QCD: 0.925388
AUCs for newBEST_qe_s9:      Avg: 0.926628, W: 0.929911, Z: 0.902738, Higgs: 0.939467, Top: 0.942569, Bottom: 0.919485, QCD: 0.925599

AUCs for newBEST_q3_ns:      Avg: 0.927165, W: 0.930675, Z: 0.904502, Higgs: 0.940190, Top: 0.942518, Bottom: 0.919627, QCD: 0.925479

AUCs for newBEST_q0_10k_ns:  Avg: 0.926010, W: 0.929497, Z: 0.902296, Higgs: 0.938461, Top: 0.941888, Bottom: 0.918917, QCD: 0.924998
AUCs for newBEST_q0_10k_s9:  Avg: 0.926376, W: 0.929705, Z: 0.902738, Higgs: 0.939286, Top: 0.941519, Bottom: 0.919549, QCD: 0.925460

AUCs newBEST_qpxy_10k_ns:    Avg: 0.926189, W: 0.929708, Z: 0.902656, Higgs: 0.939325, Top: 0.941602, Bottom: 0.918684, QCD: 0.925157
AOCs  newBEST_qpxy_10k_s9:   Avg: 0.926374, W: 0.930176, Z: 0.902111, Higgs: 0.939013, Top: 0.942237, Bottom: 0.919630, QCD: 0.925074

AUCs for newBEST_qm_10k_ns:  Avg: 0.926659, W: 0.930286, Z: 0.902245, Higgs: 0.939435, Top: 0.941993, Bottom: 0.920128, QCD: 0.925867
AOCs for newBEST_qm_10k_s9:  Avg: 0.926713, W: 0.930860, Z: 0.904206, Higgs: 0.939499, Top: 0.942428, Bottom: 0.918762, QCD: 0.924522

AUCs for newBEST_qe_10k_ns:  Avg: 0.926508, W: 0.929992, Z: 0.902223, Higgs: 0.939378, Top: 0.942067, Bottom: 0.919942, QCD: 0.925447
AOCs for newBEST_qe_10k_s9:  Avg: 0.926661, W: 0.930077, Z: 0.903227, Higgs: 0.939440, Top: 0.942412, Bottom: 0.919475, QCD: 0.925332

AUCs for newBEST_q3_10k_ns:  Avg: 0.927340, W: 0.930746, Z: 0.904130, Higgs: 0.939966, Top: 0.942532, Bottom: 0.920535, QCD: 0.926129

AUCs for newBEST_q0_100k_ns: Avg: 0.926107, W: 0.929336, Z: 0.902357, Higgs: 0.938985, Top: 0.941887, Bottom: 0.918730, QCD: 0.925347
AUCs for newBEST_q0_100k_s9: Avg: 0.925687, W: 0.928929, Z: 0.901671, Higgs: 0.938714, Top: 0.941378, Bottom: 0.918667, QCD: 0.924765

AUCs  newBEST_qpxy_100k_ns:  Avg: 0.926676, W: 0.929473, Z: 0.902278, Higgs: 0.939440, Top: 0.942747, Bottom: 0.920344, QCD: 0.925773
AUCs  newBEST_qpxy_100k_s9:  Avg: 0.926657, W: 0.930061, Z: 0.903013, Higgs: 0.939396, Top: 0.942163, Bottom: 0.919830, QCD: 0.925475

AUCs for newBEST_qm_100k_ns: Avg: 0.927046, W: 0.930474, Z: 0.904056, Higgs: 0.939960, Top: 0.942137, Bottom: 0.919460, QCD: 0.926188
AUCs for newBEST_qm_100k_s9: Avg: 0.926941, W: 0.930681, Z: 0.904016, Higgs: 0.939988, Top: 0.941947, Bottom: 0.920221, QCD: 0.924795

AUCs for newBEST_qe_100k_ns: Avg: 0.926723, W: 0.929924, Z: 0.903179, Higgs: 0.939675, Top: 0.941935, Bottom: 0.920431, QCD: 0.925190
AUCs for newBEST_qe_100k_s9: Avg: 0.926679, W: 0.930217, Z: 0.903479, Higgs: 0.939633, Top: 0.942271, Bottom: 0.919578, QCD: 0.924896

AUCs for newBEST_q3_100k_ns: Avg: 0.926521, W: 0.930683, Z: 0.903721, Higgs: 0.939116, Top: 0.941666, Bottom: 0.918751, QCD: 0.925188

AUCs for newBEST_q0_350k_ns: Avg: 0.926306, W: 0.929678, Z: 0.902420, Higgs: 0.939495, Top: 0.942007, Bottom: 0.919412, QCD: 0.924824

AUCs  newBEST_qpxy_350k_ns:  Avg: 0.926379, W: 0.929398, Z: 0.902712, Higgs: 0.939591, Top: 0.942419, Bottom: 0.919417, QCD: 0.924736

AUCs for newBEST_qm_350k_ns: Avg: 0.927224, W: 0.930767, Z: 0.904189, Higgs: 0.939929, Top: 0.942547, Bottom: 0.920268, QCD: 0.925646

AUCs for newBEST_qe_350k_ns: Avg: 0.926557, W: 0.929855, Z: 0.902472, Higgs: 0.939309, Top: 0.941782, Bottom: 0.920043, QCD: 0.925880

AUCs for newBEST_q3_350k_ns: Avg: 0.927292, W: 0.930818, Z: 0.904287, Higgs: 0.940319, Top: 0.942602, Bottom: 0.920083, QCD: 0.925639

#######

# Scales sorted by scaled variables (q0=pz, qpxy=pxpy, qm=mass, qe=energy, q3=all, ns=noSV, s9=9MSub):

AUCs for newBEST_b1_ns:      Avg: 0.926127, W: 0.929520, Z: 0.901042, Higgs: 0.939026, Top: 0.942282, Bottom: 0.919962, QCD: 0.924929

# thoughts: q0 here is way too high. rerun? need to choose best combo....q3? def qm at least. maybe add qm to qe and qpxy and q0 and rerun!
AUCs for newBEST_q0_ns:      Avg: 0.926687, W: 0.929860, Z: 0.902684, Higgs: 0.939283, Top: 0.942609, Bottom: 0.920106, QCD: 0.925580
AUCs for newBEST_qpxy:       Avg: 0.926565, W: 0.930041, Z: 0.902906, Higgs: 0.939383, Top: 0.941918, Bottom: 0.919506, QCD: 0.925633
AUCs for newBEST_qm:         Avg: 0.926812, W: 0.930322, Z: 0.904330, Higgs: 0.939777, Top: 0.941879, Bottom: 0.919317, QCD: 0.925245
AUCs for newBEST_qe:         Avg: 0.926735, W: 0.930123, Z: 0.903400, Higgs: 0.939478, Top: 0.942270, Bottom: 0.919748, QCD: 0.925388
AUCs for newBEST_q3_ns:      Avg: 0.927165, W: 0.930675, Z: 0.904502, Higgs: 0.940190, Top: 0.942518, Bottom: 0.919627, QCD: 0.925479

AUCs for newBEST_q0_10k_ns:  Avg: 0.926010, W: 0.929497, Z: 0.902296, Higgs: 0.938461, Top: 0.941888, Bottom: 0.918917, QCD: 0.924998
AUCs newBEST_qpxy_10k_ns:    Avg: 0.926189, W: 0.929708, Z: 0.902656, Higgs: 0.939325, Top: 0.941602, Bottom: 0.918684, QCD: 0.925157
AUCs for newBEST_qm_10k_ns:  Avg: 0.926659, W: 0.930286, Z: 0.902245, Higgs: 0.939435, Top: 0.941993, Bottom: 0.920128, QCD: 0.925867
AUCs for newBEST_qe_10k_ns:  Avg: 0.926508, W: 0.929992, Z: 0.902223, Higgs: 0.939378, Top: 0.942067, Bottom: 0.919942, QCD: 0.925447
AUCs for newBEST_q3_10k_ns:  Avg: 0.927340, W: 0.930746, Z: 0.904130, Higgs: 0.939966, Top: 0.942532, Bottom: 0.920535, QCD: 0.926129

AUCs for newBEST_q0_100k_ns: Avg: 0.926107, W: 0.929336, Z: 0.902357, Higgs: 0.938985, Top: 0.941887, Bottom: 0.918730, QCD: 0.925347
AUCs  newBEST_qpxy_100k_ns:  Avg: 0.926676, W: 0.929473, Z: 0.902278, Higgs: 0.939440, Top: 0.942747, Bottom: 0.920344, QCD: 0.925773
AUCs for newBEST_qm_100k_ns: Avg: 0.927046, W: 0.930474, Z: 0.904056, Higgs: 0.939960, Top: 0.942137, Bottom: 0.919460, QCD: 0.926188
AUCs for newBEST_qe_100k_ns: Avg: 0.926723, W: 0.929924, Z: 0.903179, Higgs: 0.939675, Top: 0.941935, Bottom: 0.920431, QCD: 0.925190
AUCs for newBEST_q3_100k_ns: Avg: 0.926521, W: 0.930683, Z: 0.903721, Higgs: 0.939116, Top: 0.941666, Bottom: 0.918751, QCD: 0.925188

AUCs for newBEST_q0_350k_ns: Avg: 0.926306, W: 0.929678, Z: 0.902420, Higgs: 0.939495, Top: 0.942007, Bottom: 0.919412, QCD: 0.924824
AUCs  newBEST_qpxy_350k_ns:  Avg: 0.926379, W: 0.929398, Z: 0.902712, Higgs: 0.939591, Top: 0.942419, Bottom: 0.919417, QCD: 0.924736
AUCs for newBEST_qm_350k_ns: Avg: 0.927224, W: 0.930767, Z: 0.904189, Higgs: 0.939929, Top: 0.942547, Bottom: 0.920268, QCD: 0.925646
AUCs for newBEST_qe_350k_ns: Avg: 0.926557, W: 0.929855, Z: 0.902472, Higgs: 0.939309, Top: 0.941782, Bottom: 0.920043, QCD: 0.925880
AUCs for newBEST_q3_350k_ns: Avg: 0.927292, W: 0.930818, Z: 0.904287, Higgs: 0.940319, Top: 0.942602, Bottom: 0.920083, QCD: 0.925639


AUCs for newBEST_qpxy_s9:    Avg: 0.925682, W: 0.929284, Z: 0.901899, Higgs: 0.938401, Top: 0.941530, Bottom: 0.918811, QCD: 0.924168
AUCs for newBEST_qm_s9:      Avg: 0.927252, W: 0.930567, Z: 0.903717, Higgs: 0.940111, Top: 0.942583, Bottom: 0.920537, QCD: 0.925993
AUCs for newBEST_qe_s9:      Avg: 0.926628, W: 0.929911, Z: 0.902738, Higgs: 0.939467, Top: 0.942569, Bottom: 0.919485, QCD: 0.925599
AOCs newBEST_qpxy_10k_s9:    Avg: 0.926374, W: 0.930176, Z: 0.902111, Higgs: 0.939013, Top: 0.942237, Bottom: 0.919630, QCD: 0.925074
AOCs for newBEST_qm_10k_s9:  Avg: 0.926713, W: 0.930860, Z: 0.904206, Higgs: 0.939499, Top: 0.942428, Bottom: 0.918762, QCD: 0.924522
AOCs for newBEST_qe_10k_s9:  Avg: 0.926661, W: 0.930077, Z: 0.903227, Higgs: 0.939440, Top: 0.942412, Bottom: 0.919475, QCD: 0.925332
AUCs for newBEST_q0_100k_s9: Avg: 0.925687, W: 0.928929, Z: 0.901671, Higgs: 0.938714, Top: 0.941378, Bottom: 0.918667, QCD: 0.924765
AUCs   newBEST_qpxy_100k_s9: Avg: 0.926657, W: 0.930061, Z: 0.903013, Higgs: 0.939396, Top: 0.942163, Bottom: 0.919830, QCD: 0.925475
AUCs for newBEST_qm_100k_s9: Avg: 0.926941, W: 0.930681, Z: 0.904016, Higgs: 0.939988, Top: 0.941947, Bottom: 0.920221, QCD: 0.924795
AUCs for newBEST_qe_100k_s9: Avg: 0.926679, W: 0.930217, Z: 0.903479, Higgs: 0.939633, Top: 0.942271, Bottom: 0.919578, QCD: 0.924896



AUCs for newBEST_q0_10k_qms9: Avg: 0.926598, W: 0.930436, Z: 0.903777, Higgs: 0.939716, Top: 0.941439, Bottom: 0.919311, QCD: 0.924906
AUCs for newBEST_qpxy_qms9:   Avg: 0.927110, W: 0.930616, Z: 0.904328, Higgs: 0.940102, Top: 0.942411, Bottom: 0.919385, QCD: 0.925815
